customer_id,first_name,last_name,email,date_joined,age_years,country,segment
1,Danielle,Johnson,john21@example.net,2024-07-23,45,Saint Vincent and the Grenadines,occasional
2,Patricia,Miller,fjohnson@example.org,2020-05-20,75,Djibouti,frequent
3,William,Johnson,jennifermiles@example.com,2021-02-19,55,Cyprus,one_time
4,Shane,Ramirez,blakeerik@example.com,2022-06-19,43,Guam,occasional
5,Joshua,Lewis,curtis61@example.com,2020-07-02,41,Tanzania,occasional
6,Maurice,Baker,blairamanda@example.com,2024-10-23,32,Belgium,occasional
7,Andrea,Calderon,barbara10@example.net,2024-09-24,26,Denmark,one_time
8,Kendra,Galloway,michellejames@example.com,2020-03-05,50,North Macedonia,occasional
9,Mary,Martin,jason41@example.net,2021-01-16,49,North Macedonia,occasional
10,George,Daniel,stevennelson@example.net,2020-04-26,23,Portugal,occasional
11,Angela,Cohen,perezantonio@example.com,2020-04-09,66,Iran,regular
12,Joseph,Clark,jason76@example.net,2018-04-28,21,Kuwait,one_time
13,Douglas,Taylor,julie69@example.com,2021-08-25,73,Guyana,one_time
14,Jeffrey,Bright,ddavis@example.org,2021-01-24,25,Cape Verde,occasional
15,Courtney,Conner,ycarlson@example.com,2018-06-14,27,Nepal,one_time
16,Wendy,Rice,frazierdanny@example.net,2020-04-02,58,Sao Tome and Principe,one_time
17,Joseph,Davidson,cartereric@example.org,2024-04-04,28,Zimbabwe,one_time
18,Jennifer,Cortez,williamrodriguez@example.net,2020-02-04,68,French Southern Territories,one_time
19,Meagan,Romero,ericfarmer@example.net,2019-04-08,61,Zimbabwe,occasional
20,Kimberly,Moreno,georgetracy@example.org,2021-01-03,45,Vanuatu,occasional
21,Michael,Galloway,john39@example.org,2024-12-07,56,Belize,occasional
22,Jessica,Cabrera,davidalvarez@example.net,2020-02-12,22,Chad,one_time
23,Joseph,Brennan,ibrandt@example.net,2022-03-13,42,Portugal,regular
24,James,Collins,samuel87@example.org,2022-12-23,42,Egypt,one_time
25,Jeffrey,Morgan,briannasmith@example.net,2020-01-29,56,Norfolk Island,one_time
26,Brian,Jones,heathchad@example.org,2022-09-08,47,Fiji,frequent
27,Elizabeth,Lewis,jenniferkhan@example.net,2020-07-06,51,Lebanon,one_time
28,John,Kennedy,glee@example.net,2021-11-06,34,Jersey,regular
29,Michael,Jenkins,nuneztracey@example.org,2021-11-09,53,Bahamas,occasional
30,Richard,Morgan,wrightjames@example.com,2021-03-18,73,Burundi,one_time
31,Robert,Ramirez,nancyjones@example.net,2018-10-16,18,Bolivia,regular
32,Brent,Kidd,novaksara@example.org,2023-08-15,61,Chad,one_time
33,Richard,Olson,kbarrera@example.com,2020-05-17,64,Afghanistan,one_time
34,Tricia,Baker,smitchell@example.net,2019-08-18,25,Slovenia,occasional
35,Angela,Higgins,jamesrobinson@example.org,2018-05-11,61,Mozambique,frequent
36,Jill,Brown,brian97@example.net,2021-06-26,74,Uruguay,regular
37,Melissa,Moore,yorkcasey@example.org,2022-03-30,52,Peru,occasional
38,Michelle,Powell,bethwilliams@example.org,2018-02-22,66,Italy,one_time
39,Diane,Cunningham,sarah35@example.org,2021-02-08,35,Estonia,occasional
40,Randy,Powers,stephen10@example.com,2019-12-24,67,Nigeria,regular
41,Yolanda,Ferrell,medinawilliam@example.org,2021-12-17,59,Venezuela,occasional
42,Michael,Jones,mikemoore@example.net,2019-07-11,39,Romania,occasional
43,Kevin,Riggs,contrerasangela@example.net,2022-05-12,25,Bosnia and Herzegovina,one_time
44,Sheila,Taylor,prestonjulia@example.org,2020-07-26,36,Faroe Islands,regular
45,Juan,Clark,james48@example.com,2024-07-04,45,El Salvador,one_time
46,Rebecca,Mathis,waltersmaria@example.org,2019-03-15,28,Afghanistan,occasional
47,Matthew,Anderson,evan78@example.net,2020-06-08,47,Japan,one_time
48,Ann,Rodriguez,amydavenport@example.net,2018-12-28,18,Micronesia,occasional
49,Earl,Anderson,michael05@example.org,2024-05-26,64,Pitcairn Islands,occasional
50,John,Garcia,vdickson@example.org,2023-12-27,74,Uzbekistan,one_time
51,Sarah,Hancock,nicolejohnson@example.net,2020-03-11,64,Uzbekistan,regular
52,Martin,Galvan,josephcobb@example.org,2022-02-02,34,Hong Kong,one_time
53,Monica,Garrison,jamessellers@example.com,2023-06-18,50,Gambia,occasional
54,Lori,Savage,andrewlee@example.com,2021-04-18,66,Fiji,frequent
55,Michelle,Rasmussen,michael86@example.net,2021-03-08,29,Tajikistan,occasional
56,Amanda,Crosby,wileyjose@example.net,2020-02-11,50,Estonia,one_time
57,Benjamin,Carlson,jessica56@example.net,2018-10-24,24,Malawi,frequent
58,Darrell,Lam,jonathanfletcher@example.org,2024-02-29,73,Mali,occasional
59,Sara,Ryan,michaeljones@example.net,2024-03-10,58,Uruguay,occasional
60,Mark,Edwards,cortezkevin@example.com,2021-11-08,37,Papua New Guinea,occasional
61,Ricky,Powell,angela36@example.net,2020-06-06,71,Wallis and Futuna,frequent
62,Nicholas,Adkins,christinaturner@example.net,2020-06-16,58,Syrian Arab Republic,one_time
63,Aaron,Mitchell,mfloyd@example.net,2022-08-31,50,Gibraltar,one_time
64,Steven,Ramos,williamleon@example.net,2024-02-28,56,Chile,one_time
65,Donna,Campbell,clarence34@example.org,2024-01-27,30,Sri Lanka,one_time
